"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","UNIT","COUNTRY_UPDATE_DATE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","BASIS_OF_PROJECTIONS","VALUATION","PRICES_SECTOR_HARMONIZED_PRICES","LABOR_SECTOR_EMPLOYMENT_TYPE","FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION","FISCAL_SECTOR_VALUATION_OF_DEBT","FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT","TRADE_SECTOR_OIL_COVERAGE","PRIMARY_DOMESTIC_CURRENCY","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","GBR.NGDP.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","Domestic currency","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","Base year changed from 2022 to 2023 by the Office of National Statistics as of Sep 30, 2025.","2025","National Statistics Office","2023","January/December","Yes, from 1980","","","","","","","","","British pound","259.956","290.550","320.013","351.900","378.608","415.455","447.561","498.040","557.277","616.595","672.977","708.072","733.221","772.390","813.527","854.921","913.609","958.539","1002.804","1046.727","1104.759","1150.542","1194.646","1262.502","1327.143","1403.249","1478.080","1551.729","1602.217","1559.405","1615.839","1669.945","1721.708","1789.072","1875.066","1928.016","2004.755","2097.222","2171.559","2252.961","2124.720","2322.652","2580.949","2752.164","2890.664","3037.611","3137.174","3245.141","3364.044","3478.241","3595.406","3710.076"
"IMF.RES:WEO(9.0.0)","USA.NGSD_NGDP.A","OBS_VALUE","United States","Gross national savings, Percent of GDP","Annual","Units","Percent","9/30/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","System of National Accounts (SNA) 2008","Real GDP determined by chained Fisher quantity growth rates.","2025","National Statistics Office","2017","January/December","Yes, from 1980","","","","","","","","","US dollar","22.059","23.206","21.713","19.725","21.839","20.308","18.882","19.548","20.564","19.674","18.674","18.733","17.607","16.970","17.782","18.681","19.570","20.773","21.315","20.851","20.741","19.581","18.303","17.351","17.662","18.052","19.126","17.354","14.975","13.798","15.288","16.238","18.288","18.475","19.571","19.611","18.472","18.882","19.126","19.329","18.232","17.583","18.186","17.026","16.494","16.804","17.701","17.857","17.786","17.547","17.412","17.230"
"IMF.RES:WEO(9.0.0)","G119.PCPIPCH.A","OBS_VALUE","G7","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","Percent","","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","12.384","10.326","7.337","4.832","4.634","3.921","2.084","2.756","3.196","4.439","4.443","4.355","3.217","2.858","2.208","2.286","2.190","1.948","1.246","1.365","2.120","1.929","1.309","1.758","1.981","2.327","2.332","2.165","3.198","-0.071","1.386","2.598","1.911","1.332","1.512","0.316","0.778","1.759","2.080","1.484","0.789","3.319","7.313","4.691","2.651","2.549","2.878","2.180","2.098","2.104","2.109","2.088"
"IMF.RES:WEO(9.0.0)","G119.BFO.A","OBS_VALUE","G7","Other investment, Net (assets minus liabilities), US dollar","Annual","Billions","US dollar","","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","-2.013","36.137","48.870","7.038","-7.783","-37.836","-2.273","-133.319","-85.864","-62.122","-117.504","-26.014","-96.565","-5.507","-148.315","-25.476","11.689","31.443","-114.410","-129.973","-125.755","-254.888","-71.094","-248.328","-40.495","76.505","-240.389","-56.872","156.549","-125.082","-0.662","35.733","-418.118","-257.366","-267.054","-198.994","-27.785","-311.861","-58.918","-164.906","-297.593","-992.511","-279.487","-260.572","40.452","303.903","-327.408","-228.505","-163.963","-97.232","-8.964","-8.262"
"IMF.RES:WEO(9.0.0)","GBR.NGDP_D.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Price deflator, Index","Annual","Units","Index","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","European System of Accounts (ESA) 2010","Base year changed from 2022 to 2023 by the Office of National Statistics as of Sep 30, 2025.","2025","National Statistics Office","2023","January/December","Yes, from 1980","","","","","","","","","British pound","22.783","25.607","27.654","29.188","30.714","32.376","33.825","35.693","37.884","40.925","44.415","47.397","48.946","50.414","51.344","52.689","54.871","54.891","55.620","56.396","56.946","57.921","59.131","60.541","62.194","63.975","65.943","67.257","69.480","70.875","71.816","73.595","74.734","76.346","77.564","78.083","79.438","80.664","82.247","84.271","88.352","88.981","94.034","100.000","103.902","107.758","110.410","112.748","115.000","117.015","119.123","121.212"
"IMF.RES:WEO(9.0.0)","G110.NGDP_RPCH.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","Percent","","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","1.342","2.324","0.266","3.176","4.808","3.681","3.290","3.799","4.741","3.961","2.998","1.569","2.202","1.249","3.324","2.895","3.059","3.528","2.749","3.589","4.189","1.558","1.651","2.016","3.243","2.854","3.104","2.812","0.346","-3.384","3.112","1.721","1.183","1.484","2.162","2.412","1.840","2.609","2.312","1.859","-3.927","6.116","3.055","1.702","1.839","1.935","1.777","1.700","1.747","1.613","1.537","1.513"
"IMF.RES:WEO(9.0.0)","USA.LUR.A","OBS_VALUE","United States","Unemployment rate","Annual","Units","","9/30/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2025","National Statistics Office","","","","","","","National definition","","","","","US dollar","7.175","7.617","9.708","9.600","7.508","7.192","7.000","6.175","5.492","5.258","5.617","6.850","7.492","6.908","6.100","5.592","5.408","4.942","4.500","4.217","3.967","4.742","5.783","5.992","5.542","5.083","4.608","4.617","5.800","9.283","9.608","8.933","8.075","7.358","6.158","5.275","4.875","4.358","3.892","3.675","8.100","5.350","3.650","3.625","4.025","4.279","4.376","4.249","4.109","3.899","3.873","3.859"
"IMF.RES:WEO(9.0.0)","TWN.LP.A","OBS_VALUE","Taiwan Province of China","Population, Persons for countries / Index for country groups","Annual","Millions","","9/26/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Historical data source: Data retrieved from CEIC. Original source is Directorate-General of Budget, Accounting and Statistics.","2025","National Statistics Office","","","","","","","","","","","","New Taiwan dollar","17.866","18.194","18.516","18.791","19.069","19.314","19.509","19.725","19.954","20.157","20.401","20.606","20.803","20.995","21.178","21.357","21.525","21.743","21.929","22.092","22.277","22.406","22.521","22.605","22.689","22.770","22.877","22.958","23.037","23.120","23.162","23.225","23.316","23.374","23.434","23.492","23.540","23.571","23.589","23.603","23.561","23.375","23.265","23.420","23.400","23.299","23.198","23.098","22.998","22.899","22.800","22.702"
"IMF.RES:WEO(9.0.0)","IND.GGX_NGDP.A","OBS_VALUE","India","Expenditure, General government, Percent of GDP","Annual","Units","Percent","9/26/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2001","Latest actual data: Central government data are actual up to FY2023/24. State Level data arrive with significantly longer lag than Central data. Historical data source: State-level fiscal data is sourced from the Reserve Bank of India. IMF staff estimates data at the General Government level. Manual used: Authority reported in GFSM 1986, staffs converted to GFSM 2001. Reporting in calendar year: No, Fiscal data are mapped to calendar year as follows: FY(t/t+1) = CY(t). Start/end months of reporting year: The original data from the authority is on FY (Apr/Mar) basis. General government composition: This is according to the authorities' accounting standards.","FY2024/25","Ministry of Finance or Treasury","","April/March","","Projections are based on available information on the authorities' fiscal plans, with adjustments for the IMF staff's assumptions. General government data covers only central and state governments. State government data are incorporated with a lag of up to two years; general government data are thus finalized well after central government data. IMF and Indian presentations differ, particularly regarding disinvestment and license-auction proceeds, net versus gross recording of revenues in certain minor categories, and some public sector lending. Starting with FY2020/21 data, expenditure also includes the off-budget component of food subsidies, consistent with the revised treatment of food subsidies in the budget. In FY2020/21 IMF staff adjusted expenditure to take out payments for FY2019/20food subsidies, which FY2020/21 official figures include.","Cash","","","Central Government; State Government","Nominal value","Loans; Securities Other than Shares","","Indian rupee","","","","","","","","","24.463","25.240","25.378","26.808","26.689","26.194","26.208","24.980","24.364","25.231","26.034","25.850","26.086","28.276","29.115","29.942","28.450","26.026","25.642","26.093","28.269","28.101","27.721","27.320","27.184","26.488","26.203","27.345","27.593","26.649","26.781","27.419","31.766","30.688","29.963","29.702","29.278","28.463","28.641","28.667","28.600","28.525","28.490","28.438"
"IMF.RES:WEO(9.0.0)","LKA.GGXCNL_NGDP.A","OBS_VALUE","Sri Lanka","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","Percent","7/15/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 1986","Instruments included in gross and net debt: Gross debt includes domestic securities, loans, overdrafts, and Central Bank advances owed by the central government; International Sovereign Bonds, external syndicated loans, and official project loans owed by the central government.","2025","Ministry of Finance or Treasury","","January/December","","Fiscal projections are based on staff judgment.","Cash","","","Central Government","Face value","Currency and Deposits; Loans; Securities Other than Shares","","Sri Lankan rupee","","","","","","","","","","","-6.389","-7.973","-4.951","-5.775","-7.406","-7.110","-6.892","-5.710","-6.786","-5.584","-7.778","-8.480","-6.904","-6.152","-6.323","-5.933","-5.913","-5.808","-5.930","-8.328","-6.728","-6.009","-5.439","-5.005","-5.992","-6.639","-4.997","-5.098","-4.956","-7.519","-13.358","-11.683","-10.223","-8.323","-5.426","","","","","","",""
"IMF.RES:WEO(9.0.0)","G603.NGDPD.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","US dollar","","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","322.820","340.565","342.883","317.373","251.965","230.963","262.407","285.022","307.878","313.984","448.473","453.955","446.436","445.906","442.699","556.406","633.107","661.872","673.118","454.859","461.776","445.086","486.308","603.764","742.878","880.844","1022.040","1186.201","1372.251","1312.239","1557.652","1781.974","1885.062","1994.482","2097.719","1864.168","1709.952","1807.762","1963.299","2017.614","1867.793","2089.003","2229.855","2095.487","1931.641","2131.184","2437.320","2568.378","2724.285","2915.745","3125.569","3350.131"
"IMF.RES:WEO(9.0.0)","USA.PPPSH.A","OBS_VALUE","United States","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","Percent","9/30/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","21.596","21.636","21.137","21.560","22.130","22.253","22.298","22.206","22.159","22.175","21.724","21.217","19.718","19.892","20.122","19.940","19.938","20.006","20.369","20.628","20.421","20.126","19.919","19.756","19.514","19.301","18.863","18.286","17.806","17.462","17.056","16.686","16.534","16.341","16.190","16.129","15.925","15.723","15.568","15.323","15.242","15.104","14.938","14.892","14.810","14.628","14.538","14.384","14.229","14.057","13.881","13.707"
"IMF.RES:WEO(9.0.0)","BDI.LP.A","OBS_VALUE","Burundi","Population, Persons for countries / Index for country groups","Annual","Millions","","9/15/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2024","Other","","","","","","","","","","","","Burundi franc","4.011","4.129","4.250","4.374","4.502","4.634","4.770","4.910","5.054","5.202","5.354","5.511","5.668","5.658","5.756","5.864","5.972","6.070","6.187","6.337","6.470","6.634","6.824","7.043","7.311","7.587","7.866","8.162","8.506","8.948","9.376","9.718","10.071","10.439","10.800","11.048","11.239","11.507","11.859","12.255","12.617","12.965","13.321","13.689","14.048","14.469","14.903","15.350","15.811","16.285","16.774","17.176"
"IMF.RES:WEO(9.0.0)","G119.BFRA.A","OBS_VALUE","G7","Change in reserve assets, Net (assets minus liabilities), US dollar","Annual","Billions","US dollar","","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","","","","","","","","","","","","","","","-9.535","-5.358","-8.160","9.536","7.899","2.951","28.585","76.925","21.526","17.788","25.314","-29.354","2.573","8.633","23.634","81.647","46.008","17.087","6.501","50.709","54.376","32.711","46.527","184.110","155.679","-1.611","36.539","47.290","33.357","127.910","70.630","206.772","-10.967","49.323","18.264","45.674","13.897","29.587","68.223","35.309","26.901","310.590","-23.515","14.431","-57.527","57.328","23.504","24.592","25.735","25.797","26.372","26.572"
"IMF.RES:WEO(9.0.0)","MUS.LP.A","OBS_VALUE","Mauritius","Population, Persons for countries / Index for country groups","Annual","Millions","","9/19/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2024","National Statistics Office","","","","","","","","","","","","Mauritian rupee","0.966","0.980","0.993","1.002","1.012","1.021","1.028","1.036","1.043","1.051","1.059","1.070","1.084","1.097","1.113","1.122","1.134","1.148","1.160","1.175","1.187","1.196","1.205","1.213","1.221","1.228","1.234","1.240","1.244","1.247","1.250","1.252","1.252","1.254","1.255","1.256","1.256","1.257","1.257","1.257","1.256","1.256","1.251","1.248","1.245","1.243","1.239","1.236","1.233","1.229","1.225","1.221"
"IMF.RES:WEO(9.0.0)","GBR.GGXONLB_NGDP.A","OBS_VALUE","United Kingdom","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","Percent","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","Government Finance Statistics Manual (GFSM) 2014","Note the general government variables exclude the temporary effects of financial interventions. Reporting in calendar year: Yes, Annual CY data are reconstructed from quarterly data. General government composition: The concepts of ""state government"" and ""social security funds"" are not applicable to the UK. Instruments included in gross and net debt: Net debt is defined as total gross financial liabilities less liquid financial assets, where liquid assets are cash and short-term assets, which can be released for cash at short notice without significant loss.","2025","National Statistics Office","","January/December","","Fiscal projections are based on the March 2026 forecast of the Office for Budget Responsibility (OBR) and the January 2026 release on public sector finances from the Office for National Statistics (ONS). The IMF staff’s projections take the OBR forecast as a reference and overlay adjustments for differences in assumptions. Data are presented on a calendar year basis.","Accrual","","","Central Government; Local Government","Nominal value","Currency and Deposits; Loans; Securities Other than Shares","","British pound","-0.667","-1.761","-0.547","-0.752","-0.513","-0.129","0.034","0.605","2.097","2.135","0.159","-1.431","-4.017","-5.154","-4.014","-2.941","-1.617","0.121","1.760","2.458","3.049","1.818","-0.577","-1.789","-1.681","-1.538","-1.132","-0.948","-3.505","-8.509","-6.721","-4.629","-5.616","-3.903","-3.647","-3.030","-1.668","-0.677","-0.563","-0.952","-11.786","-5.430","-1.040","-3.686","-4.023","-2.765","-1.231","-0.393","0.241","1.041","1.344","1.356"
"IMF.RES:WEO(9.0.0)","UGA.LP.A","OBS_VALUE","Uganda","Population, Persons for countries / Index for country groups","Annual","Millions","","9/24/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2024","National Statistics Office","","","","","","","","","","","","Ugandan shilling","11.264","11.607","11.962","12.335","12.734","13.169","13.641","14.147","14.679","15.227","15.782","16.343","16.873","17.447","18.021","18.595","19.214","19.832","20.450","21.113","21.820","22.526","23.277","24.116","24.956","25.795","26.678","27.606","28.578","29.549","30.521","31.537","32.548","33.510","34.477","35.492","36.561","37.674","38.823","39.823","41.222","42.460","43.799","45.222","46.623","48.022","49.706","51.948","54.013","55.633","57.302","59.312"
"IMF.RES:WEO(9.0.0)","TON.LP.A","OBS_VALUE","Tonga","Population, Persons for countries / Index for country groups","Annual","Millions","","9/10/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t). Prior to 1995, the data are in fiscal year (FY) reporting basis converted to calendar year by averaging two FYs (e.g. 1990 is the average of 1989/90 and 1990/91), and are further adjusted to produce a smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Historical data source: National Reserve Bank of Tonga.","FY2019/20","Central Bank","","","","","","","","","","","","Tongan pa’anga","0.092","0.093","0.093","0.094","0.095","0.095","0.094","0.094","0.095","0.095","0.096","0.096","0.097","0.097","0.097","0.097","0.098","0.098","0.098","0.099","0.099","0.100","0.100","0.100","0.101","0.101","0.102","0.102","0.102","0.103","0.103","0.103","0.103","0.102","0.102","0.101","0.101","0.101","0.100","0.100","0.100","0.100","0.100","0.100","0.099","0.099","0.099","0.099","0.098","0.098","0.098","0.098"
"IMF.RES:WEO(9.0.0)","GBR.LUR.A","OBS_VALUE","United Kingdom","Unemployment rate","Annual","Units","","9/13/2025","2026-04-14T13:00:00Z","2026-04-15T13:00:00Z","","","2025","National Statistics Office","","","","","","","Harmonized ILO definition","","","","","British pound","7.133","9.650","10.725","11.475","11.750","11.375","11.325","10.425","8.575","7.225","7.100","8.850","9.950","10.375","9.500","8.625","8.100","6.950","6.250","5.975","5.450","5.100","5.200","5.000","4.750","4.825","5.425","5.350","5.725","7.625","7.900","8.100","7.950","7.575","6.175","5.375","4.875","4.425","4.075","3.825","4.625","4.550","3.800","4.050","4.300","4.850","5.575","5.325","4.800","4.500","4.500","4.500"
