iso3,nace,exposure,year,dlp_hw,flag
BEL,G-I,control,2025,0.4,p
BEL,J,exposed,2000,-0.7,
BEL,J,exposed,2001,1.7,
BEL,J,exposed,2002,8.2,
BEL,J,exposed,2003,5.3,
BEL,J,exposed,2004,7.0,
BEL,J,exposed,2005,-4.4,
BEL,J,exposed,2006,-0.4,
BEL,J,exposed,2007,3.4,
BEL,J,exposed,2008,1.3,
BEL,J,exposed,2009,1.5,b
BEL,J,exposed,2010,6.2,
BEL,J,exposed,2011,0.9,
BEL,J,exposed,2012,4.3,
BEL,J,exposed,2013,0.1,
BEL,J,exposed,2014,1.7,
BEL,J,exposed,2015,2.8,
BEL,J,exposed,2016,1.9,
BEL,J,exposed,2017,1.1,
BEL,J,exposed,2018,0.7,
BEL,J,exposed,2019,2.3,
BEL,J,exposed,2020,3.4,
BEL,J,exposed,2021,1.9,
BEL,J,exposed,2022,1.6,
BEL,J,exposed,2023,2.2,
BEL,J,exposed,2024,5.0,p
BEL,J,exposed,2025,3.1,p
BEL,K,exposed,2000,-0.5,
BEL,K,exposed,2001,-0.6,
BEL,K,exposed,2002,6.3,
BEL,K,exposed,2003,-7.8,
BEL,K,exposed,2004,9.0,
BEL,K,exposed,2005,5.5,
BEL,K,exposed,2006,9.7,
BEL,K,exposed,2007,-3.2,
BEL,K,exposed,2008,-1.7,
BEL,K,exposed,2009,15.2,b
BEL,K,exposed,2010,8.1,
BEL,K,exposed,2011,-3.3,
BEL,K,exposed,2012,10.0,
BEL,K,exposed,2013,-2.8,
BEL,K,exposed,2014,4.1,
BEL,K,exposed,2015,5.0,
BEL,K,exposed,2016,1.5,
BEL,K,exposed,2017,4.7,
BEL,K,exposed,2018,3.8,
BEL,K,exposed,2019,4.1,
BEL,K,exposed,2020,-0.5,
BEL,K,exposed,2021,3.1,
BEL,K,exposed,2022,-6.9,
BEL,K,exposed,2023,-0.5,
BEL,K,exposed,2024,-1.1,p
BEL,K,exposed,2025,-0.1,p
BEL,M,exposed,2000,-3.1,
BEL,M,exposed,2001,-1.6,
BEL,M,exposed,2002,-4.3,
BEL,M,exposed,2003,2.8,
BEL,M,exposed,2004,1.3,
BEL,M,exposed,2005,4.8,
BEL,M,exposed,2006,0.8,
BEL,M,exposed,2007,2.8,
BEL,M,exposed,2008,-1.7,
BEL,M,exposed,2009,-9.7,b
BEL,M,exposed,2010,-11.0,
BEL,M,exposed,2011,-0.5,
BEL,M,exposed,2012,-5.2,
BEL,M,exposed,2013,1.3,
BEL,M,exposed,2014,1.2,
BEL,M,exposed,2015,2.2,
BEL,M,exposed,2016,0.9,
BEL,M,exposed,2017,3.9,
BEL,M,exposed,2018,1.5,
BEL,M,exposed,2019,-1.0,
BEL,M,exposed,2020,12.6,
BEL,M,exposed,2021,-2.8,
BEL,M,exposed,2022,1.5,
BEL,M,exposed,2023,0.7,
BEL,M,exposed,2024,3.6,p
BGR,C,control,2000,19.2,
BGR,C,control,2001,9.3,
BGR,C,control,2002,4.5,
BGR,C,control,2003,13.9,
BGR,C,control,2004,-0.9,
BGR,C,control,2005,3.3,
BGR,C,control,2006,7.2,
BGR,C,control,2007,11.4,
BGR,C,control,2008,-5.8,
BGR,C,control,2009,8.4,
BGR,C,control,2010,2.0,
BGR,C,control,2011,8.1,
BGR,C,control,2012,12.2,
BGR,C,control,2013,-2.6,
BGR,C,control,2014,1.3,
BGR,C,control,2015,4.6,
BGR,C,control,2016,3.2,
BGR,C,control,2017,0.5,
BGR,C,control,2018,2.7,
BGR,C,control,2019,4.5,
BGR,C,control,2020,-4.8,
BGR,C,control,2021,0.3,
BGR,C,control,2022,26.6,
BGR,C,control,2023,7.2,
BGR,C,control,2024,-0.7,
BGR,C,control,2025,-6.4,p
BGR,F,control,2000,1.2,
BGR,F,control,2001,5.4,
BGR,F,control,2002,1.4,
BGR,F,control,2003,-1.1,
BGR,F,control,2004,-3.6,
BGR,F,control,2005,-7.4,
BGR,F,control,2006,-8.2,
BGR,F,control,2007,0.8,
BGR,F,control,2008,-10.1,
BGR,F,control,2009,23.9,
BGR,F,control,2010,0.2,
BGR,F,control,2011,8.9,
BGR,F,control,2012,1.8,
BGR,F,control,2013,-2.7,
BGR,F,control,2014,-1.3,
BGR,F,control,2015,1.1,
BGR,F,control,2016,-4.0,
BGR,F,control,2017,3.9,
BGR,F,control,2018,-3.9,
BGR,F,control,2019,-3.5,
BGR,F,control,2020,4.7,
BGR,F,control,2021,-12.2,
BGR,F,control,2022,7.2,
BGR,F,control,2023,-7.6,
BGR,F,control,2024,14.3,
BGR,F,control,2025,2.1,p
BGR,G-I,control,2000,9.4,
BGR,G-I,control,2001,4.1,
BGR,G-I,control,2002,5.4,
BGR,G-I,control,2003,5.0,
BGR,G-I,control,2004,0.6,
BGR,G-I,control,2005,7.4,
BGR,G-I,control,2006,3.9,
BGR,G-I,control,2007,1.9,
BGR,G-I,control,2008,-8.1,
BGR,G-I,control,2009,-3.9,
BGR,G-I,control,2010,15.9,
BGR,G-I,control,2011,5.0,
BGR,G-I,control,2012,2.7,
BGR,G-I,control,2013,4.1,
BGR,G-I,control,2014,-1.8,
BGR,G-I,control,2015,4.6,
BGR,G-I,control,2016,-2.7,
BGR,G-I,control,2017,2.1,
BGR,G-I,control,2018,2.8,
BGR,G-I,control,2019,3.6,
BGR,G-I,control,2020,3.7,
BGR,G-I,control,2021,11.0,
BGR,G-I,control,2022,-2.3,
BGR,G-I,control,2023,0.5,
BGR,G-I,control,2024,10.4,
BGR,G-I,control,2025,-1.0,p
BGR,J,exposed,2000,14.5,
BGR,J,exposed,2001,18.0,
BGR,J,exposed,2002,13.8,
BGR,J,exposed,2003,-2.3,
BGR,J,exposed,2004,2.7,
BGR,J,exposed,2005,-3.0,
BGR,J,exposed,2006,5.6,
BGR,J,exposed,2007,5.5,
BGR,J,exposed,2008,80.4,
BGR,J,exposed,2009,-4.7,
BGR,J,exposed,2010,-7.2,
BGR,J,exposed,2011,10.4,
BGR,J,exposed,2012,-3.7,
BGR,J,exposed,2013,-1.6,
BGR,J,exposed,2014,-0.7,
BGR,J,exposed,2015,-5.4,
BGR,J,exposed,2016,10.0,
BGR,J,exposed,2017,0.9,
BGR,J,exposed,2018,4.5,
BGR,J,exposed,2019,6.7,
BGR,J,exposed,2020,0.9,
BGR,J,exposed,2021,-2.2,
BGR,J,exposed,2022,-4.0,
BGR,J,exposed,2023,-7.1,
BGR,J,exposed,2024,2.2,
BGR,J,exposed,2025,1.6,p
BGR,K,exposed,2000,10.4,
BGR,K,exposed,2001,20.5,
BGR,K,exposed,2002,32.9,
BGR,K,exposed,2003,46.9,
BGR,K,exposed,2004,8.1,
BGR,K,exposed,2005,12.2,
BGR,K,exposed,2006,3.6,
BGR,K,exposed,2007,15.8,
BGR,K,exposed,2008,3.2,
BGR,K,exposed,2009,4.8,
BGR,K,exposed,2010,19.7,
BGR,K,exposed,2011,-7.7,
BGR,K,exposed,2012,-2.1,
BGR,K,exposed,2013,-6.6,
BGR,K,exposed,2014,-0.1,
BGR,K,exposed,2015,-4.7,
BGR,K,exposed,2016,5.9,
BGR,K,exposed,2017,1.6,
BGR,K,exposed,2018,-2.3,
BGR,K,exposed,2019,0.1,
BGR,K,exposed,2020,12.5,
BGR,K,exposed,2021,26.2,
BGR,K,exposed,2022,8.3,
BGR,K,exposed,2023,-3.4,
BGR,K,exposed,2024,3.4,
BGR,K,exposed,2025,0.0,p
BGR,M,exposed,2000,10.7,
BGR,M,exposed,2001,4.3,
BGR,M,exposed,2002,-9.1,
BGR,M,exposed,2003,5.1,
BGR,M,exposed,2004,-9.2,
BGR,M,exposed,2005,9.6,
BGR,M,exposed,2006,14.2,
BGR,M,exposed,2007,22.5,
BGR,M,exposed,2008,-3.3,
BGR,M,exposed,2009,14.3,
BGR,M,exposed,2010,1.0,
BGR,M,exposed,2011,6.6,
BGR,M,exposed,2012,-0.5,
BGR,M,exposed,2013,2.0,
BGR,M,exposed,2014,-7.6,
BGR,M,exposed,2015,14.5,
BGR,M,exposed,2016,-5.2,
BGR,M,exposed,2017,-2.1,
BGR,M,exposed,2018,3.5,
BGR,M,exposed,2019,15.9,
BGR,M,exposed,2020,-3.1,
BGR,M,exposed,2021,12.6,
BGR,M,exposed,2022,0.8,
BGR,M,exposed,2023,-4.7,
BGR,M,exposed,2024,1.0,
CHE,C,control,2000,-0.6,e
CHE,C,control,2001,7.5,e
CHE,C,control,2002,8.0,e
CHE,C,control,2003,3.5,e
CHE,C,control,2004,0.3,e
CHE,C,control,2005,3.0,e
CHE,C,control,2006,5.4,e
CHE,C,control,2007,3.2,e
CHE,C,control,2008,2.3,e
CHE,C,control,2009,-7.1,e
CHE,C,control,2010,7.5,e
CHE,C,control,2011,5.9,
CHE,C,control,2012,-1.0,
CHE,C,control,2013,5.4,
CHE,C,control,2014,0.7,
CHE,C,control,2015,-0.8,
CHE,C,control,2016,5.4,
CHE,C,control,2017,5.9,
CHE,C,control,2018,7.4,
CHE,C,control,2019,3.9,
CHE,C,control,2020,2.2,
CHE,C,control,2021,18.5,
CHE,C,control,2022,5.5,
CHE,C,control,2023,-2.9,
CHE,C,control,2024,2.6,
CHE,C,control,2025,1.5,
CHE,F,control,2000,-1.1,e
CHE,F,control,2001,-0.6,e
CHE,F,control,2002,5.9,e
CHE,F,control,2003,2.4,e
CHE,F,control,2004,-3.7,e
CHE,F,control,2005,1.0,e
CHE,F,control,2006,-2.8,e
CHE,F,control,2007,-2.7,e
CHE,F,control,2008,-0.8,e
CHE,F,control,2009,1.7,e
CHE,F,control,2010,3.3,e
CHE,F,control,2011,-2.4,
CHE,F,control,2012,0.3,
CHE,F,control,2013,1.3,
CHE,F,control,2014,0.8,
CHE,F,control,2015,-5.1,
CHE,F,control,2016,3.3,
CHE,F,control,2017,-0.5,
CHE,F,control,2018,2.0,
CHE,F,control,2019,0.6,
CHE,F,control,2020,-1.1,
CHE,F,control,2021,0.8,
CHE,F,control,2022,-4.2,
CHE,F,control,2023,-0.9,
CHE,F,control,2024,2.0,
CHE,F,control,2025,0.8,
CHE,G-I,control,2000,5.8,e
CHE,G-I,control,2001,5.5,e
CHE,G-I,control,2002,2.5,e
CHE,G-I,control,2003,-0.3,e
CHE,G-I,control,2004,2.4,e
CHE,G-I,control,2005,3.3,e
CHE,G-I,control,2006,5.8,e
CHE,G-I,control,2007,4.2,e
CHE,G-I,control,2008,2.5,e
CHE,G-I,control,2009,1.5,e
CHE,G-I,control,2010,11.2,e
CHE,G-I,control,2011,-4.6,
CHE,G-I,control,2012,4.1,
CHE,G-I,control,2013,1.3,
CHE,G-I,control,2014,3.3,
CHE,G-I,control,2015,2.7,
CHE,G-I,control,2016,0.1,
CHE,G-I,control,2017,0.2,
CHE,G-I,control,2018,0.3,
CHE,G-I,control,2019,-1.5,
CHE,G-I,control,2020,5.8,
CHE,G-I,control,2021,-6.9,
CHE,G-I,control,2022,-5.5,
CHE,G-I,control,2023,1.6,
CHE,G-I,control,2024,-0.5,
CHE,G-I,control,2025,4.3,
CHE,J,exposed,2000,7.3,e
CHE,J,exposed,2001,4.7,e
CHE,J,exposed,2002,1.8,e
CHE,J,exposed,2003,-5.2,e
CHE,J,exposed,2004,-0.3,e
CHE,J,exposed,2005,3.0,e
CHE,J,exposed,2006,1.3,e
CHE,J,exposed,2007,-2.3,e
CHE,J,exposed,2008,1.2,e
CHE,J,exposed,2009,0.1,e
CHE,J,exposed,2010,6.1,e
CHE,J,exposed,2011,-4.1,
CHE,J,exposed,2012,-1.2,
CHE,J,exposed,2013,-2.0,
CHE,J,exposed,2014,-1.8,
CHE,J,exposed,2015,-0.5,
CHE,J,exposed,2016,2.5,
CHE,J,exposed,2017,1.2,
CHE,J,exposed,2018,2.5,
CHE,J,exposed,2019,-2.2,
CHE,J,exposed,2020,1.3,
CHE,J,exposed,2021,-0.3,
CHE,J,exposed,2022,5.1,
CHE,J,exposed,2023,6.2,
CHE,J,exposed,2024,1.9,
CHE,J,exposed,2025,3.2,
CHE,K,exposed,2000,11.7,e
CHE,K,exposed,2001,-10.9,e
CHE,K,exposed,2002,-5.9,e
CHE,K,exposed,2003,4.4,e
CHE,K,exposed,2004,4.5,e
CHE,K,exposed,2005,6.9,e
CHE,K,exposed,2006,3.3,e
CHE,K,exposed,2007,4.3,e
CHE,K,exposed,2008,-5.9,e
CHE,K,exposed,2009,-5.2,e
CHE,K,exposed,2010,12.5,e
CHE,K,exposed,2011,-1.6,
CHE,K,exposed,2012,4.6,
CHE,K,exposed,2013,10.0,
CHE,K,exposed,2014,-1.0,
CHE,K,exposed,2015,0.8,
CHE,K,exposed,2016,-1.1,
CHE,K,exposed,2017,-1.7,
CHE,K,exposed,2018,9.7,
CHE,K,exposed,2019,-0.5,
CHE,K,exposed,2020,3.3,
CHE,K,exposed,2021,5.9,
CHE,K,exposed,2022,5.4,
CHE,K,exposed,2023,-4.4,
CHE,K,exposed,2024,-0.1,
CHE,K,exposed,2025,3.3,
CHE,M,exposed,2000,-9.5,e
CHE,M,exposed,2001,0.8,e
CHE,M,exposed,2002,-5.4,e
CHE,M,exposed,2003,-8.3,e
CHE,M,exposed,2004,0.4,e
CHE,M,exposed,2005,1.0,e
CHE,M,exposed,2006,-1.1,e
CHE,M,exposed,2007,-1.1,e
CHE,M,exposed,2008,-1.7,e
CHE,M,exposed,2009,-5.1,e
CHE,M,exposed,2010,6.6,e
CHE,M,exposed,2011,-2.1,
CHE,M,exposed,2012,-2.9,
CHE,M,exposed,2013,-0.7,
CHE,M,exposed,2014,3.6,
CHE,M,exposed,2015,-1.3,
CHE,M,exposed,2016,-2.8,
CHE,M,exposed,2017,3.8,
CHE,M,exposed,2018,2.2,
CHE,M,exposed,2019,-6.1,
CHE,M,exposed,2020,4.6,
CHE,M,exposed,2021,1.5,
CHE,M,exposed,2022,-1.8,p
CHE,M,exposed,2023,1.6,p
CHE,M,exposed,2024,5.3,p
CYP,C,control,2000,1.3,
CYP,C,control,2001,1.1,
CYP,C,control,2002,4.9,
CYP,C,control,2003,0.9,
CYP,C,control,2004,-0.1,
CYP,C,control,2005,-6.3,
CYP,C,control,2006,0.5,
CYP,C,control,2007,-4.0,
CYP,C,control,2008,4.2,
CYP,C,control,2009,-4.5,
CYP,C,control,2010,0.6,
CYP,C,control,2011,-5.5,
CYP,C,control,2012,-2.5,
CYP,C,control,2013,-7.0,
CYP,C,control,2014,5.9,
CYP,C,control,2015,4.1,
CYP,C,control,2016,7.7,
CYP,C,control,2017,8.3,
CYP,C,control,2018,15.1,
CYP,C,control,2019,6.6,
CYP,C,control,2020,4.9,
CYP,C,control,2021,-10.3,
CYP,C,control,2022,-13.1,
CYP,C,control,2023,11.5,
CYP,C,control,2024,1.0,p
CYP,C,control,2025,-0.3,p
CYP,F,control,2000,2.1,
CYP,F,control,2001,5.5,
CYP,F,control,2002,5.5,
CYP,F,control,2003,5.7,
CYP,F,control,2004,6.9,
CYP,F,control,2005,2.7,
CYP,F,control,2006,2.6,
CYP,F,control,2007,0.0,
CYP,F,control,2008,-12.8,
CYP,F,control,2009,-11.9,
CYP,F,control,2010,-4.6,
CYP,F,control,2011,-1.5,
CYP,F,control,2012,2.2,
CYP,F,control,2013,16.5,
CYP,F,control,2014,-7.7,
CYP,F,control,2015,-4.9,
CYP,F,control,2016,6.8,
CYP,F,control,2017,2.4,
CYP,F,control,2018,2.9,
CYP,F,control,2019,-3.3,
CYP,F,control,2020,-5.6,
CYP,F,control,2021,-10.4,
CYP,F,control,2022,-10.3,
CYP,F,control,2023,13.8,
CYP,F,control,2024,4.0,p
CYP,F,control,2025,1.5,p
CYP,G-I,control,2000,8.3,
CYP,G-I,control,2001,-5.1,
CYP,G-I,control,2002,0.1,
CYP,G-I,control,2003,-3.2,
CYP,G-I,control,2004,3.2,
CYP,G-I,control,2005,6.5,
CYP,G-I,control,2006,5.4,
CYP,G-I,control,2007,2.2,
CYP,G-I,control,2008,1.3,
CYP,G-I,control,2009,0.9,
CYP,G-I,control,2010,6.1,
CYP,G-I,control,2011,2.9,
CYP,G-I,control,2012,-5.3,
CYP,G-I,control,2013,-2.6,
CYP,G-I,control,2014,1.7,
CYP,G-I,control,2015,1.5,
CYP,G-I,control,2016,0.5,
CYP,G-I,control,2017,4.0,
CYP,G-I,control,2018,2.9,
CYP,G-I,control,2019,2.3,
CYP,G-I,control,2020,-9.8,
CYP,G-I,control,2021,19.8,
CYP,G-I,control,2022,1.1,
CYP,G-I,control,2023,-3.7,
CYP,G-I,control,2024,1.3,p
CYP,G-I,control,2025,3.0,p
CYP,J,exposed,2000,8.5,
CYP,J,exposed,2001,7.2,
CYP,J,exposed,2002,9.7,
CYP,J,exposed,2003,-2.0,
CYP,J,exposed,2004,17.2,
CYP,J,exposed,2005,8.9,
CYP,J,exposed,2006,-9.9,
CYP,J,exposed,2007,1.4,
CYP,J,exposed,2008,2.9,
CYP,J,exposed,2009,-5.3,
CYP,J,exposed,2010,1.9,
CYP,J,exposed,2011,-1.7,
CYP,J,exposed,2012,-1.1,
CYP,J,exposed,2013,17.4,
CYP,J,exposed,2014,5.0,
CYP,J,exposed,2015,-0.3,
CYP,J,exposed,2016,22.8,
CYP,J,exposed,2017,14.0,
CYP,J,exposed,2018,2.6,
CYP,J,exposed,2019,-9.9,
CYP,J,exposed,2020,4.5,
CYP,J,exposed,2021,3.9,
CYP,J,exposed,2022,28.5,
CYP,J,exposed,2023,-8.6,
CYP,J,exposed,2024,5.7,p
CYP,J,exposed,2025,4.4,p
CYP,K,exposed,2000,2.3,
CYP,K,exposed,2001,4.0,
CYP,K,exposed,2002,7.2,
CYP,K,exposed,2003,-3.3,
CYP,K,exposed,2004,4.5,
CYP,K,exposed,2005,9.0,
CYP,K,exposed,2006,10.9,
CYP,K,exposed,2007,4.6,
CYP,K,exposed,2008,5.6,
CYP,K,exposed,2009,6.3,
CYP,K,exposed,2010,2.5,
CYP,K,exposed,2011,-1.6,
CYP,K,exposed,2012,0.2,
CYP,K,exposed,2013,-1.5,
CYP,K,exposed,2014,-0.8,
CYP,K,exposed,2015,4.3,
CYP,K,exposed,2016,-10.9,
CYP,K,exposed,2017,-8.2,
CYP,K,exposed,2018,-14.5,
CYP,K,exposed,2019,-6.0,
CYP,K,exposed,2020,23.3,
CYP,K,exposed,2021,6.5,
CYP,K,exposed,2022,2.3,
CYP,K,exposed,2023,3.8,
CYP,K,exposed,2024,-0.6,p
CYP,K,exposed,2025,1.9,p
CYP,M,exposed,2000,-1.4,
CYP,M,exposed,2001,6.8,
CYP,M,exposed,2002,2.9,
CYP,M,exposed,2003,-6.7,
CYP,M,exposed,2004,-0.7,
CYP,M,exposed,2005,3.9,
CYP,M,exposed,2006,-1.9,
CYP,M,exposed,2007,-2.5,
CYP,M,exposed,2008,-0.7,
CYP,M,exposed,2009,-6.0,
CYP,M,exposed,2010,1.3,
CYP,M,exposed,2011,-4.7,
CYP,M,exposed,2012,-4.9,
CYP,M,exposed,2013,-4.6,
CYP,M,exposed,2014,-1.6,
CYP,M,exposed,2015,0.6,
CYP,M,exposed,2016,0.5,
CYP,M,exposed,2017,5.3,
CYP,M,exposed,2018,-1.5,
CYP,M,exposed,2019,-1.5,
CYP,M,exposed,2020,-1.7,
CYP,M,exposed,2021,-4.7,
CYP,M,exposed,2022,-2.0,
CYP,M,exposed,2023,-3.2,
CYP,M,exposed,2024,-0.1,
CZE,C,control,2000,10.3,
CZE,C,control,2001,7.2,
CZE,C,control,2002,6.0,
CZE,C,control,2003,4.9,
CZE,C,control,2004,7.1,
CZE,C,control,2005,11.3,
CZE,C,control,2006,22.0,
CZE,C,control,2007,4.8,
CZE,C,control,2008,7.7,
